student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,online_courses_completed,tutoring,final_exam_score,previous_gpa,pass_fail,grade_category,internet_access_enc,tutoring_enc,gender_enc,parental_education_enc,family_income_enc,study_environment_enc,pass_fail_enc,grade_A,grade_B,grade_C,grade_D,grade_F,productive_hours,study_attendance,engagement_score,disadvantage_index,social_study_ratio
S00001,Male,17,High School,Medium,Yes,Quiet,2.98,96.5,6.05,0.1,80.5,1,Yes,49.1,2.44,Fail,F,1,1,0,0,1,2,0,0,0,0,0,1,9.03,287.57,88.5,0,0.03355704686725824
S00002,Female,18,High School,Low,Yes,Quiet,4.45,95.7,6.96,2.9,70.9,0,Yes,70.1,2.79,Pass,C,1,1,1,0,0,2,1,0,0,1,0,0,11.41,425.865,83.30000000000001,1,0.6516853917939653
S00003,Male,17,High School,Medium,No,Quiet,3.75,76.0,7.02,2.4,77.6,4,Yes,42.2,1.49,Fail,F,0,1,0,0,1,2,0,0,0,0,0,1,10.77,285.0,76.8,1,0.6399999982933333
S00004,Male,18,Bachelor,Medium,Yes,Quiet,2.03,72.6,6.23,3.5,63.5,4,No,31.9,1.34,Fail,F,1,0,0,1,1,2,0,0,0,0,0,1,8.26,147.378,68.05,1,1.7241379225411928
S00005,Male,18,Bachelor,Medium,Yes,Quiet,5.14,87.3,8.54,2.1,71.8,0,No,66.4,2.6,Pass,C,1,0,0,1,1,2,1,0,0,1,0,0,13.68,448.722,79.55,1,0.40856031048918234
S00006,Female,17,Master,Medium,Yes,Quiet,1.16,92.0,8.16,2.6,100.0,2,No,40.9,1.61,Fail,F,1,0,1,2,1,2,0,0,0,0,0,1,9.32,106.72,96.0,1,2.2413792910225925
S00007,Male,16,High School,High,Yes,Quiet,3.33,74.2,7.34,3.9,81.3,1,No,47.1,1.35,Fail,F,1,0,0,0,2,2,0,0,0,0,0,1,10.67,247.086,77.75,1,1.1711711676541405
S00008,Male,18,Bachelor,Low,Yes,Moderate,2.01,88.0,6.58,0.0,87.3,4,No,57.0,2.52,Pass,D,1,0,0,1,0,1,1,0,0,0,1,0,8.59,176.88,87.65,2,0.0
S00009,Male,17,Master,Medium,Yes,Moderate,1.22,70.4,7.96,1.1,79.6,2,No,30.2,1.2,Fail,F,1,0,0,2,1,1,0,0,0,0,0,1,9.18,85.888,75.0,1,0.9016393368718089
S00010,Female,15,Master,Low,Yes,Quiet,1.64,95.6,7.51,1.7,81.0,2,Yes,54.8,2.02,Pass,D,1,1,1,2,0,2,1,0,0,0,1,0,9.15,156.784,88.3,1,1.0365853595330161
