student_id,cluster,num_recommendations
S00001,0,1
S00002,1,3
S00003,2,0
S00004,2,0
S00005,1,3
S00006,0,1
S00007,1,3
S00008,2,0
S00009,0,1
S00010,0,1
S00011,0,1
S00012,2,0
S00013,0,1
S00014,2,0
S00015,1,3
S00016,0,1
S00017,2,0
S00018,2,0
S00019,0,1
S00020,2,0
S00021,2,0
S00022,0,1
S00023,2,0
S00024,1,3
S00025,1,3
S00026,0,1
S00027,0,1
S00028,0,1
S00029,0,1
S00030,2,0
S00031,1,3
S00032,1,3
S00033,0,1
S00034,1,3
S00035,0,1
S00036,0,1
S00037,0,1
S00038,0,1
S00039,0,1
S00040,0,1
S00041,1,3
S00042,2,0
S00043,0,1
S00044,1,3
S00045,2,0
S00046,0,1
S00047,0,1
S00048,1,3
S00049,1,3
S00050,2,0
S00051,2,0
S00052,0,1
S00053,1,3
S00054,2,0
S00055,0,1
S00056,0,1
S00057,2,0
S00058,1,3
S00059,1,3
S00060,2,0
S00061,0,1
S00062,1,3
S00063,2,0
S00064,0,1
S00065,1,3
S00066,1,3
S00067,2,0
S00068,2,0
S00069,0,1
S00070,1,3
S00071,0,1
S00072,2,0
S00073,1,3
S00074,2,0
S00075,0,1
S00076,0,1
S00077,1,3
S00078,0,1
S00079,2,0
S00080,0,1
S00081,1,3
S00082,0,1
S00083,0,1
S00084,2,0
S00085,2,0
S00086,0,1
S00087,2,0
S00088,1,3
S00089,0,1
S00090,0,1
S00091,2,0
S00092,2,0
S00093,1,3
S00094,0,1
S00095,2,0
S00096,0,1
S00097,1,3
S00098,2,0
S00099,2,0
S00100,1,3
S00101,2,0
S00102,2,0
S00103,0,1
S00104,0,1
S00105,0,1
S00106,1,3
S00107,2,0
S00108,1,3
S00109,1,3
S00110,1,3
S00111,1,3
S00112,0,1
S00113,1,3
S00114,1,3
S00115,0,1
S00116,0,1
S00117,0,1
S00118,1,3
S00119,2,0
S00120,0,1
S00121,1,3
S00122,0,1
S00123,1,3
S00124,1,3
S00125,0,1
S00126,1,3
S00127,0,1
S00128,0,1
S00129,2,0
S00130,0,1
S00131,1,3
S00132,1,3
S00133,2,0
S00134,1,3
S00135,1,3
S00136,0,1
S00137,0,1
S00138,2,0
S00139,1,3
S00140,1,3
S00141,2,0
S00142,2,0
S00143,2,0
S00144,0,1
S00145,0,1
S00146,0,1
S00147,0,1
S00148,1,3
S00149,0,1
S00150,1,3
S00151,0,1
S00152,2,0
S00153,0,1
S00154,0,1
S00155,2,0
S00156,0,1
S00157,0,1
S00158,0,1
