student_id,gender,age,parental_education,family_income,internet_access,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,pass_fail,grade_category,gender_encoded,internet_access_encoded,tutoring_encoded,pass_fail_encoded,parental_education_encoded,family_income_encoded,grade_category_encoded,study_environment_Moderate,study_environment_Noisy,study_environment_Quiet,avg_subject_score,study_efficiency,engagement_score,academic_risk,sleep_quality,total_learning_hours,subject_score_range
S00001,Male,17,High School,Medium,Yes,2.98,96.5,6.05,0.1,80.5,68.7,1,Yes,42.8,62.4,54.8,51.8,49.1,2.44,Fail,F,1,1,1,0,0,1,0,0,0,1,52.95,14.899999999999999,81.89999999999999,0,1,3.48,19.6
S00002,Female,18,High School,Low,Yes,4.45,95.7,6.96,2.9,70.9,92.6,0,Yes,77.9,73.5,64.4,61.6,70.1,2.79,Pass,C,0,1,1,1,0,0,2,0,0,1,69.35000000000001,1.4833333333333334,86.4,0,1,4.45,16.300000000000004
S00003,Male,17,High School,Medium,No,3.75,76.0,7.02,2.4,77.6,45.8,4,Yes,53.5,38.3,36.3,47.1,42.2,1.49,Fail,F,1,0,1,0,0,1,0,0,0,1,43.8,1.5,66.46666666666667,0,2,5.75,17.200000000000003
S00004,Male,18,Bachelor,Medium,Yes,2.03,72.6,6.23,3.5,63.5,72.9,4,No,28.3,23.5,32.0,39.0,31.9,1.34,Fail,F,1,1,0,0,1,1,0,0,0,1,30.7,0.5638888888888888,69.66666666666667,0,1,4.029999999999999,15.5
S00005,Male,18,Bachelor,Medium,Yes,5.14,87.3,8.54,2.1,71.8,55.7,0,No,74.7,54.9,73.6,55.5,66.4,2.6,Pass,C,1,1,0,1,1,1,2,0,0,1,64.675,2.336363636363636,71.60000000000001,0,2,5.14,19.800000000000004
S00006,Female,17,Master,Medium,Yes,1.16,92.0,8.16,2.6,100.0,76.3,2,No,40.3,42.2,44.1,30.0,40.9,1.61,Fail,F,0,1,0,0,2,1,0,0,0,1,39.15,0.4296296296296296,89.43333333333334,1,2,2.16,14.100000000000001
S00007,Male,16,High School,High,Yes,3.33,74.2,7.34,3.9,81.3,41.8,1,No,52.1,48.4,49.4,47.8,47.1,1.35,Fail,F,1,1,0,0,0,2,0,0,0,1,49.425,0.8325,65.76666666666667,0,2,3.83,4.300000000000004
S00008,Male,18,Bachelor,Low,Yes,2.01,88.0,6.58,0.0,87.3,74.9,4,No,45.6,57.1,47.4,67.0,57.0,2.52,Pass,D,1,1,0,1,1,0,1,1,0,0,54.275,20.099999999999998,83.4,0,1,4.01,21.4
S00009,Male,17,Master,Medium,Yes,1.22,70.4,7.96,1.1,79.6,99.1,2,No,23.9,26.9,32.3,32.8,30.2,1.2,Fail,F,1,1,0,0,2,1,0,1,0,0,28.974999999999998,1.0166666666666664,83.03333333333333,1,2,2.2199999999999998,8.899999999999999
S00010,Female,15,Master,Low,Yes,1.64,95.6,7.51,1.7,81.0,61.8,2,Yes,59.6,46.2,68.0,48.3,54.8,2.02,Pass,D,0,1,1,1,2,0,1,0,0,1,55.525000000000006,0.911111111111111,79.46666666666667,0,2,2.6399999999999997,21.799999999999997
S00011,Male,17,Master,Medium,Yes,2.94,79.3,6.56,2.3,82.0,47.4,1,No,57.1,49.5,55.5,55.7,55.2,2.39,Pass,D,1,1,0,1,2,1,1,0,1,0,54.45,1.225,69.56666666666665,0,1,3.44,7.600000000000001
S00012,Male,15,Bachelor,Low,Yes,3.42,83.4,7.97,0.4,76.4,79.9,6,No,60.8,57.5,65.4,58.3,60.9,2.27,Pass,D,1,1,0,1,1,0,1,1,0,0,60.5,6.84,79.9,0,2,6.42,7.900000000000006
S00013,Male,18,Master,Low,No,4.27,93.6,7.37,1.1,88.9,65.3,0,No,56.2,57.9,38.2,37.4,49.0,2.01,Fail,F,1,0,0,0,2,0,0,1,0,0,47.425000000000004,3.5583333333333322,82.6,0,2,4.27,20.5
S00014,Male,17,High School,Medium,Yes,4.77,92.7,5.34,3.5,69.3,84.2,6,No,57.0,55.4,67.6,49.7,57.4,2.45,Pass,D,1,1,0,1,0,1,1,0,1,0,57.425,1.325,82.06666666666668,0,0,7.77,17.89999999999999
S00015,Female,17,Bachelor,Medium,Yes,3.33,89.7,6.01,3.2,57.8,86.5,2,Yes,51.4,41.1,57.4,44.3,49.4,2.14,Fail,F,0,1,1,0,1,1,0,0,0,1,48.55,1.009090909090909,77.99999999999999,0,1,4.33,16.299999999999997
S00016,Male,15,High School,High,Yes,2.47,95.3,5.67,0.0,83.0,85.5,1,Yes,63.6,55.4,54.3,63.5,58.8,2.25,Pass,D,1,1,1,1,0,2,1,1,0,0,59.2,24.7,87.93333333333334,0,0,2.97,9.300000000000004
